Freq.	V(in_ard)
1.00000000000000e+01	(8.04433221452102e+00dB,1.79872351931592e+02°)
1.61414141414141e+02	(8.04099418188438e+00dB,1.77939929453194e+02°)
3.12828282828283e+02	(8.03176933993854e+00dB,1.76009358144218e+02°)
4.64242424242424e+02	(8.01668660134443e+00dB,1.74082361896833e+02°)
6.15656565656566e+02	(7.99579296599642e+00dB,1.72160640700433e+02°)
7.67070707070707e+02	(7.96915298619926e+00dB,1.70245859599067e+02°)
9.18484848484849e+02	(7.93684804188033e+00dB,1.68339638245470e+02°)
1.06989898989899e+03	(7.89897544297144e+00dB,1.66443541215843e+02°)
1.22131313131313e+03	(7.85564737966750e+00dB,1.64559069226063e+02°)
1.37272727272727e+03	(7.80698974403793e+00dB,1.62687651362934e+02°)
1.52414141414141e+03	(7.75314084836357e+00dB,1.60830638414906e+02°)
1.67555555555556e+03	(7.69425006657128e+00dB,1.58989297356542e+02°)
1.82696969696970e+03	(7.63047642526559e+00dB,1.57164807011198e+02°)
1.97838383838384e+03	(7.56198717017421e+00dB,1.55358254888090e+02°)
2.12979797979798e+03	(7.48895633242816e+00dB,1.53570635163974e+02°)
2.28121212121212e+03	(7.41156331710900e+00dB,1.51802847756981e+02°)
2.43262626262626e+03	(7.32999153404962e+00dB,1.50055698421066e+02°)
2.58404040404040e+03	(7.24442708811056e+00dB,1.48329899774503e+02°)
2.73545454545455e+03	(7.15505754320886e+00dB,1.46626073164833e+02°)
2.88686868686869e+03	(7.06207077137612e+00dB,1.44944751265627e+02°)
3.03828282828283e+03	(6.96565389517911e+00dB,1.43286381296987e+02°)
3.18969696969697e+03	(6.86599232904069e+00dB,1.41651328761647e+02°)
3.34111111111111e+03	(6.76326892242549e+00dB,1.40039881591200e+02°)
3.49252525252525e+03	(6.65766320555216e+00dB,1.38452254602007e+02°)
3.64393939393939e+03	(6.54935073629711e+00dB,1.36888594167188e+02°)
3.79535353535353e+03	(6.43850254527611e+00dB,1.35348983019188e+02°)
3.94676767676768e+03	(6.32528467473113e+00dB,1.33833445106407e+02°)
4.09818181818182e+03	(6.20985780579755e+00dB,1.32341950436768e+02°)
4.24959595959596e+03	(6.09237696796067e+00dB,1.30874419850615e+02°)
4.40101010101010e+03	(5.97299132400313e+00dB,1.29430729674588e+02°)
4.55242424242424e+03	(5.85184402346431e+00dB,1.28010716217012e+02°)
4.70383838383838e+03	(5.72907211754706e+00dB,1.26614180073582e+02°)
4.85525252525252e+03	(5.60480652848313e+00dB,1.25240890219711e+02°)
5.00666666666667e+03	(5.47917206657382e+00dB,1.23890587872672e+02°)
5.15808080808081e+03	(5.35228748842880e+00dB,1.22562990112646e+02°)
5.30949494949495e+03	(5.22426559030615e+00dB,1.21257793256978e+02°)
5.46090909090909e+03	(5.09521333088742e+00dB,1.19974675986333e+02°)
5.61232323232323e+03	(4.96523197828337e+00dB,1.18713302225090e+02°)
5.76373737373737e+03	(4.83441727654196e+00dB,1.17473323781333e+02°)
5.91515151515151e+03	(4.70285962740647e+00dB,1.16254382754146e+02°)
6.06656565656565e+03	(4.57064428353860e+00dB,1.15056113717728e+02°)
6.21797979797980e+03	(4.43785154986902e+00dB,1.13878145693218e+02°)
6.36939393939394e+03	(4.30455699016295e+00dB,1.12720103920019e+02°)
6.52080808080808e+03	(4.17083163628357e+00dB,1.11581611438984e+02°)
6.67222222222222e+03	(4.03674219800229e+00dB,1.10462290500115e+02°)
6.82363636363636e+03	(3.90235127153831e+00dB,1.09361763807453e+02°)
6.97505050505050e+03	(3.76771754531182e+00dB,1.08279655613661e+02°)
7.12646464646464e+03	(3.63289600166576e+00dB,1.07215592676512e+02°)
7.27787878787879e+03	(3.49793811355139e+00dB,1.06169205089029e+02°)
7.42929292929293e+03	(3.36289203538493e+00dB,1.05140126994530e+02°)
7.58070707070707e+03	(3.22780278746768e+00dB,1.04127997197211e+02°)
7.73212121212121e+03	(3.09271243352282e+00dB,1.03132459678328e+02°)
7.88353535353535e+03	(2.95766025104021e+00dB,1.02153164027327e+02°)
8.03494949494949e+03	(2.82268289423855e+00dB,1.01189765796700e+02°)
8.18636363636363e+03	(2.68781454955379e+00dB,1.00241926788617e+02°)
8.33777777777778e+03	(2.55308708364593e+00dB,9.93093152808261e+01°)
